variable z - associated with Coef MAKE in million USD
dimension_z S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12;XV,I,II,III,IV,V,RMS,VI,VII,VIII,IX,XIV,X,XI,XII
dimension_expvol XV,I,II,III,IV,V,RMS,VI,VII,VIII,IX,XIV,X,XI,XII
expvol(XV) 208.565
expvol(I) 2286.211
expvol(II) 12728.921
expvol(III) 2064.121
expvol(IV) 2262.906
expvol(V) 4709.428
expvol(RMS) 14591.363
expvol(VI) 3475.895
expvol(VII) 1130.051
expvol(VIII) 3260.02
expvol(IX) 707.746
expvol(XIV) 581.812
expvol(X) 1405.214
expvol(XI) 263.907
expvol(XII) 600.402
variable yr - associated with Coef GRP in million USD
dimension_yr XV,I,II,III,IV,V,RMS,VI,VII,VIII,IX,XIV,X,XI,XII
yr(XV) 1973.294
yr(I) 6350.496
yr(II) 26153.203
yr(III) 6341.253
yr(IV) 7962.798
yr(V) 22415.734
yr(RMS) 113973.038
yr(VI) 12023.008
yr(VII) 8635.559
yr(VIII) 19813.702
yr(IX) 6801.807
yr(XIV) 3619.681
yr(X) 8768.36
yr(XI) 1983.157
yr(XII) 3016.95
variable xi3 - associated with vector Coefficient of 100s 
dimension_xi3 XV,I,II,III,IV,V,RMS,VI,VII,VIII,IX,XIV,X,XI,XII
xi3(XV) 100
xi3(I) 100
xi3(II) 100
xi3(III) 100
xi3(IV) 100
xi3(V) 100
xi3(RMS) 100
xi3(VI) 100
xi3(VII) 100
xi3(VIII) 100
xi3(IX) 100
xi3(XIV) 100
xi3(X) 100
xi3(XI) 100
xi3(XII) 100
variable taxrevm - associated with Coef TARIFF in million USD
dimension_taxrevm XV,I,II,III,IV,V,RMS,VI,VII,VIII,IX,XIV,X,XI,XII
taxrevm(XV) 4.917
taxrevm(I) 15.885
taxrevm(II) 47.706
taxrevm(III) 12.585
taxrevm(IV) 23.079
taxrevm(V) 76.777
taxrevm(RMS) 304.324
taxrevm(VI) 34.162
taxrevm(VII) 31.988
taxrevm(VIII) 75.959
taxrevm(IX) 26.488
taxrevm(XIV) 14.637
taxrevm(X) 35.33
taxrevm(XI) 5.148
taxrevm(XII) 9.309
